artifact_key,node_full_path,topic,domain,indicator_name,short_name,kb_level,achievement_text,achievement_item_no,achievement_item_text,title,description
НС.КИИ.14,Нормативное соответствие.КИИ.НС.КИИ.14,Нормативное соответствие,КИИ,Взаимодействие с ГОССОПКА,НС.КИИ.14,КБ1,"1) Скан договора на подключение к КЦ ГосСОПКА ПАО ""Ростелеком""
2) Регламент взаимодействия с КЦ ГосСОПКА
или
1) Соглашение с подписью сторон с НКЦКИ о взаимодействии в области обнаружения, предупреждения и ликвидации последствий компьютерных атак;
2) Утвержденный Регламент взаимодействия при осуществлении информационного обмена в области обнаружения, предупреждения и ликвидации последствий компьютерных атак.",,"1) Скан договора на подключение к КЦ ГосСОПКА ПАО ""Ростелеком""
2) Регламент взаимодействия с КЦ ГосСОПКА
или
1) Соглашение с подписью сторон с НКЦКИ о взаимодействии в области обнаружения, предупреждения и ликвидации последствий компьютерных атак;
2) Утвержденный Регламент взаимодействия при осуществлении информационного обмена в области обнаружения, предупреждения и ликвидации последствий компьютерных атак.","1) Скан договора на подключение к КЦ ГосСОПКА ПАО ""Ростелеком""
2) Регламент взаимодействия с КЦ ГосСОПКА
или
1) Соглашение с подписью сторон с НКЦКИ о взаимодействии в области обнаружения, предупреждения и ликвидации последствий компьютерных атак;
2) Утвержденный Регламент взаимодействия при осуществлении информационного обмена в области обнаружения, предупреждения и ликвидации последствий компьютерных атак.",""
НС.КИИ.15,Нормативное соответствие.КИИ.НС.КИИ.15,Нормативное соответствие,КИИ,"Предоставлены своевременные ответы на запросы ФСТЭК России о выполнении мер по защите информации, рекомендованных к реализации (ответы предоставлены на более чем 95% запросов)",НС.КИИ.15,КБ1,ОРД с указанием ответственного работника за взаимодействие с гос.регуляторами в области запросов КИИ,,ОРД с указанием ответственного работника за взаимодействие с гос.регуляторами в области запросов КИИ,ОРД с указанием ответственного работника за взаимодействие с гос.регуляторами в области запросов КИИ,""
НС.КИИ.2,Нормативное соответствие.КИИ.НС.КИИ.2,Нормативное соответствие,КИИ,Функции по обеспечению Иб возложены на структурное подразделение,НС.КИИ.2,КБ1,"1) Положение ""О подразделении, обеспечивающем ИБ"" в соответствии с Постановлением Правительства РФ от 15.07.2022 № 1272.
2) Приказ ""О назначении ответственных за обеспечение безопасности значимых объектов критической информационной инфраструктуры"";
3) Приказ о создании отдельного структурного подразделение (СП) по ИБ или возложие функций по обеспечению ИБ на действующих работников СП по ИТ (при их отсутствии возложение обязанностей допустимо на иную техническую должность, приближенную к ИТ).",,"1) Положение ""О подразделении, обеспечивающем ИБ"" в соответствии с Постановлением Правительства РФ от 15.07.2022 № 1272.
2) Приказ ""О назначении ответственных за обеспечение безопасности значимых объектов критической информационной инфраструктуры"";
3) Приказ о создании отдельного структурного подразделение (СП) по ИБ или возложие функций по обеспечению ИБ на действующих работников СП по ИТ (при их отсутствии возложение обязанностей допустимо на иную техническую должность, приближенную к ИТ).","1) Положение ""О подразделении, обеспечивающем ИБ"" в соответствии с Постановлением Правительства РФ от 15.07.2022 № 1272.
2) Приказ ""О назначении ответственных за обеспечение безопасности значимых объектов критической информационной инфраструктуры"";
3) Приказ о создании отдельного структурного подразделение (СП) по ИБ или возложие функций по обеспечению ИБ на действующих работников СП по ИТ (при их отсутствии возложение обязанностей допустимо на иную техническую должность, приближенную к ИТ).",""
НС.КИИ.3,Нормативное соответствие.КИИ.НС.КИИ.3,Нормативное соответствие,КИИ,Создана Комиссия по категорированию объектов КИИ,НС.КИИ.3,КБ1,"1) Приказ о создании Комиссии по категорированию объектов КИИ
2) Утвержденное Положение о работе Комиссии по категорированию объектов КИИ",,"1) Приказ о создании Комиссии по категорированию объектов КИИ
2) Утвержденное Положение о работе Комиссии по категорированию объектов КИИ","1) Приказ о создании Комиссии по категорированию объектов КИИ
2) Утвержденное Положение о работе Комиссии по категорированию объектов КИИ",""
НС.КИИ.4,Нормативное соответствие.КИИ.НС.КИИ.4,Нормативное соответствие,КИИ,"Проведен анализ  критичных процессов,  сформирован перечень систем, подлежащих категорированию (ИС, ИТКС, АСУ)",НС.КИИ.4,КБ1,Перечень объектов КИИ подлежащих категорированию.,,Перечень объектов КИИ подлежащих категорированию.,Перечень объектов КИИ подлежащих категорированию.,""
НС.КИИ.5,Нормативное соответствие.КИИ.НС.КИИ.5,Нормативное соответствие,КИИ,Проведено категорирование объктов КИИ,НС.КИИ.5,КБ1,"1) Утвержденные руководителем Акты категорирования
2) Сканы писем, направленных в ФСТЭК России по результатам проведения заседаний Комиссии по категорированию объектов КИИ
3) Сканы писем от ФСТЭК России о внесении объектов КИИ в реестр значимых объектов КИИ",,"1) Утвержденные руководителем Акты категорирования
2) Сканы писем, направленных в ФСТЭК России по результатам проведения заседаний Комиссии по категорированию объектов КИИ
3) Сканы писем от ФСТЭК России о внесении объектов КИИ в реестр значимых объектов КИИ","1) Утвержденные руководителем Акты категорирования
2) Сканы писем, направленных в ФСТЭК России по результатам проведения заседаний Комиссии по категорированию объектов КИИ
3) Сканы писем от ФСТЭК России о внесении объектов КИИ в реестр значимых объектов КИИ",""
НС.КИИ.6,Нормативное соответствие.КИИ.НС.КИИ.6,Нормативное соответствие,КИИ,Сведения о системах передаются в ФСТЭК России,НС.КИИ.6,КБ1,"1) Сканы писем, направленных в ФСТЭК России по результатам проведения заседаний Комиссии по категорированию объектов КИИ
2) Сканы писем, направленных в ФСТЭК России со сведениями состава ЗОКИИ",,"1) Сканы писем, направленных в ФСТЭК России по результатам проведения заседаний Комиссии по категорированию объектов КИИ
2) Сканы писем, направленных в ФСТЭК России со сведениями состава ЗОКИИ","1) Сканы писем, направленных в ФСТЭК России по результатам проведения заседаний Комиссии по категорированию объектов КИИ
2) Сканы писем, направленных в ФСТЭК России со сведениями состава ЗОКИИ",""
НС.КИИ.9,Нормативное соответствие.КИИ.НС.КИИ.9,Нормативное соответствие,КИИ,"Проведены мероприятия по оценке уровня защищенности
информационных систем с привлечением организаций, имеющих соответствующие лицензии ФСБ России и ФСТЭК России",НС.КИИ.9,КБ1,"1) Программа и методика испытаний и оценки соответствия СрЗИ;
2) Протоколы испытаний СрЗИ (с привлечением сторонних организаций либо собственными силами).",,"1) Программа и методика испытаний и оценки соответствия СрЗИ;
2) Протоколы испытаний СрЗИ (с привлечением сторонних организаций либо собственными силами).","1) Программа и методика испытаний и оценки соответствия СрЗИ;
2) Протоколы испытаний СрЗИ (с привлечением сторонних организаций либо собственными силами).",""
НС.КТ.1,Нормативное соответствие.Коммерческая тайна.НС.КТ.1,Нормативное соответствие,Коммерческая тайна,Определен перечень КТ,НС.КТ.1,КБ1,"Утвержденный перечень информации, составляющей коммерческую тайну",,"Утвержденный перечень информации, составляющей коммерческую тайну","Утвержденный перечень информации, составляющей коммерческую тайну",""
НС.КТ.2,Нормативное соответствие.Коммерческая тайна.НС.КТ.2,Нормативное соответствие,Коммерческая тайна,"Организовано и осуществляется маркирование материальных носителей КТ, или включение в состав реквизита документа грифа КТ",НС.КТ.2,КБ1,"фото/скан-копии материальных носителей с КТ (без раскрытия КТ), фото, скан, скрин журнала (бумажный, ЕСЭД) учета МТ с КТ",,"фото/скан-копии материальных носителей с КТ (без раскрытия КТ), фото, скан, скрин журнала (бумажный, ЕСЭД) учета МТ с КТ","фото/скан-копии материальных носителей с КТ (без раскрытия КТ), фото, скан, скрин журнала (бумажный, ЕСЭД) учета МТ с КТ",""
НС.КТ.3,Нормативное соответствие.Коммерческая тайна.НС.КТ.3,Нормативное соответствие,Коммерческая тайна,"Организован и осуществляется учет лиц, получивших доступ к КТ, и (или) лиц, которым такая информация была предоставлена или передана",НС.КТ.3,КБ1,"Фото, скан, скрин ж-ла (бумажный, ЕСЭД, иная ИС), где учитываются факты получения, предоставления и прередачи КТ соответствующим лицам",,"Фото, скан, скрин ж-ла (бумажный, ЕСЭД, иная ИС), где учитываются факты получения, предоставления и прередачи КТ соответствующим лицам","Фото, скан, скрин ж-ла (бумажный, ЕСЭД, иная ИС), где учитываются факты получения, предоставления и прередачи КТ соответствующим лицам",""
